episode,score,smoothed_score,completion,smoothed_completion,travel_time,average_travel_time,normalized_deadlocks,eps_start,"action_probs-[B, L, F, R, S]",n_eval_episodes,eval_score,eval_completion,eval_travel_time,eval_deadlocks,experiment_name
100,-0.586065574,-0.995860656,0.5,0.005,60,60.0,0.0,0.99,[0.23004695 0.21126761 0.15492958 0.20657277 0.1971831 ],25,-0.529964457,0.0,55.16,0.0,experiment_1
200,-0.448275862,-0.749377894,0.0,0.083429035,57,55.74257426,0.0,0.362372018,[0.08910891 0.08910891 0.06435644 0.13861386 0.61881188],25,-0.536687298,0.0,53.8,0.0,experiment_1
300,-0.745454545,-0.604013583,0.0,0.046435687,54,55.76119403,0.0,0.132639878,[0.109375   0.03645833 0.42708333 0.16666667 0.26041667],25,-0.549821513,0.0,57.44,0.0,experiment_1
400,-0.409090909,-0.528510147,0.0,0.04643127,54,55.47840532,0.0,0.048550485,[0.859375   0.         0.046875   0.01041667 0.08333333],25,-0.54514735,0.0,56.52,0.0,experiment_1
500,-0.488888889,-0.488554563,0.25,0.074142343,44,55.6084788,0.0,0.017771048,[0.60583942 0.06569343 0.32116788 0.00729927 0.        ],25,-0.462211075,0.11,54.72,0.0,experiment_1
600,-0.25,-0.461453709,0.25,0.09549284,54,55.93013972,0.0,0.01,[0.72777778 0.11666667 0.00555556 0.00555556 0.14444444],25,-0.42867783,0.11,55.92,0.0,experiment_1
700,-0.34375,-0.421498103,0.0,0.157123305,47,55.53410982,0.0,0.01,[0.95857988 0.03550296 0.00591716 0.         0.        ],25,-0.429239882,0.2,58.12,0.0,experiment_1
800,-0.454545455,-0.382052748,0.25,0.262373012,54,55.57917261,0.0,0.01,[0.1147541  0.0273224  0.85245902 0.00546448 0.        ],25,-0.304161118,0.33,58.4,0.0,experiment_1
900,-0.205357143,-0.347537634,0.5,0.308373079,55,55.70786517,0.0,0.01,[0.03888889 0.02222222 0.8        0.03333333 0.10555556],25,-0.314403139,0.44,47.04,0.0,experiment_1
1000,-0.407608696,-0.342769656,0.0,0.330400921,45,55.7436182,0.0,0.01,[0.         0.0862069  0.87356322 0.03448276 0.00574713],25,-0.259837171,0.46,51.2,0.0,experiment_1
1100,-0.184782609,-0.315295935,0.5,0.384893896,45,55.52747253,0.0,0.01,[0.30894309 0.25203252 0.12195122 0.31707317 0.        ],25,-0.296656808,0.45,54.36,0.0,experiment_1
