episode,score,smoothed_score,completion,smoothed_completion,travel_time,average_travel_time,normalized_deadlocks,eps_start,"action_probs-[B, L, F, R, S]",n_eval_episodes,eval_score,eval_completion,eval_travel_time,eval_deadlocks
100,-0.6181818181818182,-0.7283114753058799,0.0,0.07358462204066714,54,54.64,0.0,0.36603234127322926,[0.25945946 0.31351351 0.05945946 0.30810811 0.05945946],25,-0.48903880721614734,0.02,55.16,0.0
200,-0.6891891891891891,-0.6145840542256203,0.0,0.058248999215943946,36,55.36,0.0,0.13397967485796175,[0.04255319 0.85815603 0.0212766  0.04964539 0.02836879],25,-0.4908297199786515,0.07,53.8,0.0
300,-0.47959183673469385,-0.534793156232477,0.0,0.1306279674778642,48,55.266666666666666,0.0,0.04904089407128576,[0.83625731 0.01169591 0.14035088 0.00584795 0.00584795],25,-0.46319705938862266,0.1,57.44,0.0
400,-0.5317460317460317,-0.489835247976966,0.0,0.15445923456566768,62,55.48,0.0,0.017950553275045134,[0.95454545 0.00826446 0.01652893 0.00413223 0.01652893],25,-0.4417882762913715,0.17,56.52,0.0
500,-0.7397959183673469,-0.46161884798774633,0.0,0.17732756310994896,48,55.482,0.0,0.01,[0.33908046 0.         0.1091954  0.55172414 0.        ],25,-0.4220999302298629,0.31,54.72,0.0
600,-0.1590909090909091,-0.43009082828379064,0.5,0.21747155091066891,54,55.46,0.0,0.01,[0.02515723 0.         0.50314465 0.16352201 0.3081761 ],25,-0.46728870990000615,0.13,55.92,0.0
700,0.0,-0.38276738819478356,1.0,0.3112183073856329,41,55.17142857142857,0.0,0.01,[0.07462687 0.02238806 0.08208955 0.81343284 0.00746269],25,-0.30425628194265153,0.43,53.68,0.0
800,-0.39705882352941174,-0.3269854235688215,0.25,0.40608687965282875,50,54.945,0.0,0.01,[0.02380952 0.04761905 0.76785714 0.16071429 0.        ],25,-0.2661616705937628,0.49,48.68,0.0
900,0.0,-0.2913659770271807,1.0,0.4681210176077033,41,54.77777777777778,0.0,0.01,[0.09859155 0.1971831  0.33802817 0.36619718 0.        ],25,-0.2933728233531848,0.48,52.08,0.0
1000,0.0,-0.26324112336274663,1.0,0.5141964143081501,40,54.348,0.0,0.01,[0.11111111 0.05982906 0.81196581 0.01709402 0.        ],25,-0.21496533347435315,0.51,47.24,0.0
1100,-0.3146551724137931,-0.2354754854545943,0.25,0.5157819899079363,57,53.942727272727275,0.0,0.01,[0.01075269 0.83870968 0.02150538 0.00537634 0.12365591],25,-0.27728378698181166,0.42,52.96,0.0
1200,-0.3611111111111111,-0.2319524265630553,0.0,0.5152186272085062,35,53.81,0.0,0.01,[0.46323529 0.01470588 0.06617647 0.44117647 0.01470588],25,-0.191979301143623,0.57,52.64,0.0
1300,-0.5637254901960784,-0.22175097944484015,0.0,0.5282768042002027,50,53.62769230769231,0.0,0.01,[0.34031414 0.20418848 0.31413613 0.0104712  0.13089005],25,-0.21852494465595562,0.54,55.56,0.0
1400,-0.02830188679245283,-0.23127099857465874,1.0,0.510135198408603,42,53.44,0.0,0.01,[0.17293233 0.11278195 0.         0.70676692 0.0075188 ],25,-0.2318787390915368,0.49,52.64,0.0
1500,-0.4642857142857143,-0.22214790109760463,0.5,0.5573113196504292,55,53.141333333333336,0.0,0.01,[0.3368984  0.28877005 0.03208556 0.34224599 0.        ],25,-0.18004796762767505,0.6,46.84,0.0
1600,0.0,-0.20151355943913507,1.0,0.5765215639949367,46,53.01375,0.0,0.01,[0.03205128 0.05128205 0.10897436 0.78205128 0.02564103],25,-0.1750930942661332,0.61,51.52,0.0
1700,0.0,-0.16778695845423322,1.0,0.6381633424768642,35,52.85,0.0,0.01,[0.06015038 0.03007519 0.03007519 0.87218045 0.0075188 ],25,-0.15146731586831536,0.65,53.2,0.0
1800,-0.43359375,-0.18077562950037926,0.0,0.620846225982566,63,52.708333333333336,0.0,0.01,[0.         0.0203252  0.12195122 0.8495935  0.00813008],25,-0.1382222624741851,0.71,53.44,0.0
1900,-0.31521739130434784,-0.1497533024870572,0.25,0.6948239051068203,45,52.30736842105263,0.0,0.01,[0.30322581 0.38709677 0.         0.30967742 0.        ],25,-0.12043643773484844,0.72,46.64,0.0
2000,-0.5539772727272727,-0.14177008281420744,0.0,0.7217341783616702,87,52.0495,0.0,0.01,[0.         0.43421053 0.08552632 0.32565789 0.15460526],25,-0.13013540586335312,0.68,49.6,0.0
2100,-0.25806451612903225,-0.15408654632025168,0.5,0.6880841733257602,61,51.80619047619047,0.0,0.01,[0.00961538 0.8125     0.12019231 0.05288462 0.00480769],25,-0.09949314935485581,0.75,45.68,0.0
2200,-0.0330188679245283,-0.14264682182620245,0.75,0.7045884941736853,52,51.636818181818185,0.0,0.01,[0.02142857 0.02857143 0.22857143 0.57142857 0.15      ],25,-0.06891411899670993,0.84,41.8,0.0
2300,-0.1483050847457627,-0.13070235998782526,0.5,0.7342083215329677,58,51.47521739130435,0.0,0.01,[0.02185792 0.26229508 0.01639344 0.69945355 0.        ],25,-0.10478905603767635,0.8,46.44,0.0
2400,-0.21875,-0.1401028634768895,0.5,0.6962272966880241,47,51.38291666666667,0.0,0.01,[0.53 0.02 0.08 0.37 0.  ],25,-0.10854192093987311,0.79,43.56,0.0
2500,-0.14919354838709678,-0.1348177700283209,0.75,0.7143897837519557,61,51.188,0.0,0.01,[0.03225806 0.25806452 0.01290323 0.69677419 0.        ],25,-0.09999210724140216,0.8,44.2,0.0
2600,0.0,-0.14273045448486352,1.0,0.7053612312310411,31,51.128461538461536,0.0,0.01,[0.05607477 0.10280374 0.4953271  0.3364486  0.00934579],25,-0.18689148563646799,0.63,52.72,0.0
2700,0.0,-0.12878217448443757,1.0,0.7234201227802993,37,50.94592592592593,0.0,0.01,[0.07079646 0.05309735 0.33628319 0.53982301 0.        ],25,-0.11234432847138008,0.73,47.32,0.0
2800,-0.18181818181818182,-0.14845718470546976,0.75,0.706488003986016,54,50.856071428571425,0.0,0.01,[0.02898551 0.16666667 0.15942029 0.64492754 0.        ],25,-0.08938305553173337,0.79,44.64,0.0
2900,0.0,-0.1386897824836529,1.0,0.6959131672297975,40,50.83931034482759,0.0,0.01,[0.03846154 0.06923077 0.30769231 0.57692308 0.00769231],25,-0.11309133616747821,0.8,45.68,0.0
3000,-0.06756756756756757,-0.12403159305327129,0.75,0.7512381318117554,73,50.75266666666667,0.0,0.01,[0.03401361 0.44217687 0.04081633 0.47619048 0.00680272],25,-0.08211148639849508,0.81,46.12,0.0
3100,0.0,-0.12432755812417398,1.0,0.746491926126002,37,50.62,0.0,0.01,[0.02941176 0.06862745 0.56862745 0.33333333 0.        ],25,-0.0913457483053444,0.77,48.8,0.0
3200,-0.415,-0.13145269436273135,0.5,0.726540903132938,49,50.59,0.0,0.01,[0.01973684 0.78289474 0.01973684 0.17763158 0.        ],25,-0.07823268893737231,0.84,42.84,0.0
3300,-0.04081632653061224,-0.11261373713510035,0.75,0.7597316764533666,48,50.42242424242424,0.0,0.01,[0.10434783 0.26086957 0.13043478 0.49565217 0.00869565],25,-0.15258909119294295,0.71,50.28,0.0
3400,0.0,-0.10371815321764731,1.0,0.7717221611532661,43,50.32411764705882,0.0,0.01,[0.08955224 0.73880597 0.02238806 0.14925373 0.        ],25,-0.061061331351392203,0.85,42.36,0.0
3500,0.0,-0.10087651852785658,1.0,0.8000724318208965,50,50.169714285714285,0.0,0.01,[0.05952381 0.04166667 0.04761905 0.8452381  0.00595238],25,-0.09476393607676524,0.81,47.0,0.0
3600,-0.30448717948717946,-0.1001049916627379,0.25,0.7948704372818716,77,50.02916666666667,0.0,0.01,[0.35746606 0.59728507 0.01357466 0.03167421 0.        ],25,-0.11143240770067049,0.76,50.04,0.0
3700,0.0,-0.0974243456638125,1.0,0.7970772777783905,37,49.93756756756757,0.0,0.01,[0.07964602 0.46017699 0.36283186 0.09734513 0.        ],25,-0.11417909928204256,0.78,49.04,0.0
3800,-0.19545454545454546,-0.11070320027189724,0.25,0.7815004454857788,54,49.876315789473686,0.0,0.01,[0.01923077 0.16025641 0.00641026 0.6474359  0.16666667],25,-0.08676868389941227,0.83,41.96,0.0
3900,-0.09090909090909091,-0.09829117524386015,1.0,0.8020286513632285,50,49.79948717948718,0.0,0.01,[0.02758621 0.07586207 0.02758621 0.86896552 0.        ],25,-0.10649151663408339,0.8,46.56,0.0
4000,0.0,-0.09695085864393206,1.0,0.8051824280230476,41,49.6945,0.0,0.01,[0.04 0.3  0.08 0.58 0.  ],25,-0.0565851513252829,0.87,43.48,0.0
