episode,score,smoothed_score,completion,smoothed_completion,travel_time,average_travel_time,normalized_deadlocks,eps_start,"action_probs-[B, L, F, R, S]",n_eval_episodes,eval_score,eval_completion,eval_travel_time,eval_deadlocks
100,-0.586065574,-0.995860656,0.5,0.005,60,60,0,0.99,[0.23004695 0.21126761 0.15492958 0.20657277 0.1971831 ],25,-0.479665981,0.01,55.16,0
200,-0.349056604,-0.72357909,0.25,0.107475816,52,55.92079208,0,0.362372018,[0.05325444 0.1183432  0.15976331 0.56804734 0.10059172],25,-0.397363207,0.28,55.72,0
300,-0.264423077,-0.571642909,0.75,0.165303917,51,55.99502488,0,0.132639878,[0.02797203 0.11888112 0.73426573 0.06293706 0.05594406],25,-0.514926185,0.12,63.92,0
400,-0.575892857,-0.522462349,0.25,0.171775308,55,56.0166113,0,0.048550485,[0.07462687 0.06467662 0.20895522 0.1641791  0.48756219],25,-0.492628006,0.11,56,0
500,-0.632978723,-0.471112772,0,0.218159927,46,55.70822943,0,0.017771048,[0.03278689 0.45355191 0.13661202 0.37704918 0.        ],25,-0.293980304,0.53,52.8,0
600,-0.205357143,-0.389336478,0.5,0.314963593,55,55.37924152,0,0.01,[0.03164557 0.05696203 0.31012658 0.13924051 0.46202532],25,-0.328150924,0.38,51.52,0
700,-0.572916667,-0.339730023,0,0.38502678,47,54.87853577,0,0.01,[0.80978261 0.13586957 0.0326087  0.01630435 0.00543478],25,-0.239143279,0.54,56.44,0
800,-0.240740741,-0.289797235,0.5,0.424935425,53,54.51355207,0,0.01,[0.02272727 0.07575758 0.31060606 0.59090909 0.        ],25,-0.275573312,0.43,53.32,0
900,0,-0.245774355,1,0.492857328,39,54.13857678,0,0.01,[0.04929577 0.84507042 0.04225352 0.06338028 0.        ],25,-0.173654894,0.66,51.52,0
1000,0,-0.236361526,1,0.493430909,35,53.78357381,0,0.01,[0.04918033 0.05737705 0.03278689 0.86065574 0.        ],25,-0.140697052,0.69,47.68,0
1100,0,-0.191597008,1,0.587843482,41,53.21078921,0,0.01,[0.05       0.87142857 0.04285714 0.03571429 0.        ],25,-0.164257682,0.6,50.6,0
1200,-0.27173913,-0.195299529,0.5,0.596204152,45,52.79200727,0,0.01,[0.03816794 0.00763359 0.09923664 0.84732824 0.00763359],25,-0.197871473,0.58,52.32,0
1300,-0.138392857,-0.170077684,0.75,0.630447655,55,52.5295587,0,0.01,[0.04216867 0.24698795 0.03614458 0.54819277 0.12650602],25,-0.206057383,0.59,47.16,0
1400,-0.113636364,-0.178035277,0.75,0.61517948,54,52.30668716,0,0.01,[0.07086614 0.46456693 0.25984252 0.20472441 0.        ],25,-0.166206887,0.63,48.68,0
1500,-0.547619048,-0.192010505,0,0.590007423,62,52.23768737,0,0.01,[0.41563786 0.54320988 0.00823045 0.02880658 0.00411523],25,-0.191053763,0.55,52.08,0
1600,-0.06372549,-0.194663015,0.75,0.563987725,50,52.13057961,0,0.01,[0.25892857 0.55357143 0.10714286 0.07142857 0.00892857],25,-0.17925383,0.6,53.72,0
1700,-0.25,-0.192893997,0,0.589256339,57,52.04184884,0,0.01,[0.12568306 0.18579235 0.01639344 0.66666667 0.00546448],25,-0.204055028,0.59,52.72,0
